year,title,authors,n_authors,affiliations,reading_time_min,doi,url
2020,"Annex: Using a New Global Urban-Rural Definition, Called the Degree of Urbanisation, to Assess Happiness",Lewis Dijkstra; Eleni Papadimitriou,2,"Head of the Economic Analysis Sector, Directorate-General for Regional and Urban Policy of the European Commission, Visiting Professor at the London School of Economics and Political Science | Competence Centre on Composite Indicators and Scoreboards, Joint Research Centre of the European Commission",5,,https://www.worldhappiness.report/ed/2020/annex-using-a-new-global-urban-rural-definition-called-the-degree-of-urbanisation-to-assess-happiness/
2020,Cities and Happiness: A Global Ranking and Analysis,Jan-Emmanuel De Neve; Christian Krekel,2,University of Oxford | London School of Economics,21,,https://www.worldhappiness.report/ed/2020/cities-and-happiness-a-global-ranking-and-analysis/
2020,Environments for Happiness: An Overview,John F. Helliwell; Richard Layard; Jeffrey D. Sachs; Jan-Emmanuel De Neve,4,"Vancouver School of Economics, University of British Columbia | Wellbeing Programme, Centre for Economic Performance, London School of Economics and Political Science | Director, SDSN; Director, Center for Sustainable Development, Columbia University | Director, Wellbeing Research Centre, University of Oxford",12,,https://www.worldhappiness.report/ed/2020/environments-for-happiness-an-overview/
2020,How Environmental Quality Affects Our Happiness,Christian Krekel; George MacKerron,2,"Assistant Professor, London School of Economics | Senior Lecturer, University of Sussex; Co-Founder and CTO, Psychological Technologies",33,,https://www.worldhappiness.report/ed/2020/how-environmental-quality-affects-our-happiness/
2020,Social Environments for World Happiness,John F. Helliwell; Haifang Huang; Shun Wang; Max Norton,4,"Vancouver School of Economics, University of British Columbia | Associate Professor, Department of Economics, University of Alberta | Professor, KDI School of Public Policy and Management | Vancouver School of Economics, University of British Columbia",52,10.1007/s10902-019-00209-4,https://www.worldhappiness.report/ed/2020/social-environments-for-world-happiness/
2020,Sustainable Development and Human Well-Being,Jan-Emmanuel De Neve; Jeffrey D. Sachs,2,"Director, Wellbeing Research Centre, University of Oxford | Columbia University, Centre for Sustainable Development",20,10.1038/s41893-019-0404-1,https://www.worldhappiness.report/ed/2020/sustainable-development-and-human-well-being/
2020,The Nordic Exceptionalism: What Explains Why the Nordic Countries Are Constantly Among the Happiest in the World,Frank Martela; Bent Greve; Bo Rothstein; Juho Saari,4,"School of Business / Department of Industrial Engineering and Management, Aalto University, Finland | Department of Social Sciences and Business, Roskilde University, Denmark | Department of Political Science, University of Gothenburg, Sweden | Faculty of Social Sciences, University of Tampere, Finland",29,10.1093/esr/jci022,https://www.worldhappiness.report/ed/2020/the-nordic-exceptionalism-what-explains-why-the-nordic-countries-are-constantly-among-the-happiest-in-the-world/
2020,Urban-Rural Happiness Differentials Across the World,Martijn J. Burger; Philip S. Morrison; Martijn Hendriks; Marloes M. Hoogerbrugge,4,"Erasmus Happiness Economics Research Organisation (EHERO), Department of Applied Economics, and Tinbergen Institute, Erasmus University Rotterdam, The Netherlands | School of Geography, Environment and Earth Sciences, Victoria University of Wellington, New Zealand | Erasmus Happiness Economics Research Organisation (EHERO) and Department of Applied Economics, Erasmus University Rotterdam, The Netherlands | Erasmus Happiness Economics Research Organisation (EHERO), Erasmus University Rotterdam, The Netherlands",42,,https://www.worldhappiness.report/ed/2020/urban-rural-happiness-differentials-across-the-world/
2021,COVID-19 Prevalence and Well-being: Lessons from East Asia,Mingming Ma; Shun Wang; Fengyu Wu,3,Shanghai University of Finance and Economics | KDI School of Public Policy and Management | Wake Forest University,44,10.1038/s41562-020-0931-9,https://www.worldhappiness.report/ed/2021/covid-19-prevalence-and-well-being-lessons-from-east-asia/
2021,"Happiness, trust, and deaths under COVID-19",John F. Helliwell; Haifang Huang; Shun Wang; Max Norton,4,"Vancouver School of Economics, University of British Columbia | Associate Professor, Department of Economics, University of Alberta | Professor, KDI School of Public Policy and Management | Vancouver School of Economics, University of British Columbia",56,10.1080/02786826.2020.1749229,https://www.worldhappiness.report/ed/2021/happiness-trust-and-deaths-under-covid-19/
