model,term,coef,se,p,r2,n
m1,const,-2.0078,0.4927,0.0,0.6534,134
m1,log_gdp,0.7966,0.0504,0.0,0.6534,134
m2,const,-2.8626,0.8924,0.0013,0.6612,134
m2,log_gdp,0.644,0.1216,0.0,0.6612,134
m2,life_exp_healthy,0.0354,0.0276,0.1992,0.6612,134
m3,const,-2.2412,0.7986,0.005,0.7655,134
m3,log_gdp,0.3289,0.1273,0.0098,0.7655,134
m3,life_exp_healthy,0.0153,0.0261,0.5584,0.7655,134
m3,social_support,4.6058,0.9314,0.0,0.7655,134
m4,const,-2.0806,0.8139,0.0106,0.8308,134
m4,log_gdp,0.2703,0.1178,0.0217,0.8308,134
m4,life_exp_healthy,0.0111,0.0233,0.6336,0.8308,134
m4,social_support,3.6707,0.6651,0.0,0.8308,134
m4,freedom,2.4873,0.5021,0.0,0.8308,134
m4,corruption,-0.7619,0.2599,0.0034,0.8308,134
m5,const,-2.2437,0.8049,0.0053,0.8311,134
m5,log_gdp_wb,0.2722,0.1119,0.015,0.8311,134
m5,life_exp_healthy,0.0132,0.0227,0.5609,0.8311,134
m5,social_support,3.6125,0.6453,0.0,0.8311,134
m5,freedom,2.4862,0.5061,0.0,0.8311,134
m5,corruption,-0.7635,0.2555,0.0028,0.8311,134
m6,const,0.0,0.0376,1.0,0.8308,134
m6,log_gdp,0.2743,0.1195,0.0217,0.8308,134
m6,life_exp_healthy,0.0558,0.1172,0.6336,0.8308,134
m6,social_support,0.4166,0.0755,0.0,0.8308,134
m6,freedom,0.2443,0.0493,0.0,0.8308,134
m6,corruption,-0.1185,0.0404,0.0034,0.8308,134
